ID	ND	FL
CALXQQ01	0.0008888965	0.002106195
CANPXN01	0.0003883615	0.002604982
JAISLQ01	0.00184952	0.001124277
JAJQDJ01	0.001434779	0.001535983
WRAV01	0.0009109687	0.00204391
UBA1259	0.0008036332	0.002110462
Marseille-P2935	0.001041567	0.001862075
UBA7067	0.001194099	0.001706289
Crickella	0.001286303	0.001609622
MGBC163490	0.0007469919	0.002130997
SIG704	0.002666949	0.0002044831
Lachnotalea	0.00126606	0.001590678
RGIG4790	0.001040759	0.001815756
Fimicola	0.001812442	0.001024159
CALZFJ01	0.001481114	0.001326915
Soudan-22	0.001147626	0.001650363
RGIG1934	0.001418832	0.001363144
HGM11521	0.0004927169	0.002278782
SFTJ01	0.001376712	0.001388939
JAJDHY01	0.0008470068	0.001916075
Faecalispora	0.001352057	0.001408874
MGBC100798	0.0009583989	0.001798678
Liminaster	0.001842539	0.0009072997
MWCU01	0.0002596399	0.00248792
WQXZ01	3.017435e-05	0.002715563
Lactiplantibacillus	0.00151895	0.001188754
Eubacterium_P	0.0009989752	0.001706023
CAKPXW01	0.001097887	0.001590267
Tissierella	0.000346651	0.002340495
Apopatocola	0.001121311	0.001565608
Flexilinea	0.001093059	0.001590877
UBA1189	0.001494333	0.001178065
CAG-448	0.0009216415	0.001749716
Anoxybacillus_A	0.001547659	0.001122285
Fimivicinus	0.001114128	0.001553326
DTU059	0.001170014	0.001495312
Porcincola	0.001224028	0.00143332
UMGS1613	0.001327721	0.001307681
JANONN01	0.00139055	0.001240559
Sporanaerobium	0.0006111552	0.002015139
RGIG4930	0.001094589	0.001513051
Clostridium_B	0.0008748693	0.001730659
Intestinibacillus	0.001627923	0.0009658495
UBA10281	0.0008284034	0.001764323
UMGS1883	0.001179859	0.001410282
Turicibacter	2.483686e-05	0.002559011
Pontibacter	0.00139478	0.001184479
Gordonia	0.001216622	0.001361099
Scatenecus	0.001353098	0.001219103
Bacillus_AV	0.001446057	0.001119063
DSVR01	0.0006273887	0.001927606
JALENY01	0.0009085942	0.001641479
HGM12713	0.000608907	0.001937041
Galliscardovia	0.0001678906	0.002357694
UBA946	0.0003618919	0.002158727
Rossellomorea	0.001453161	0.001067436
Muricomes	0.0009192465	0.00160046
RAS1	0.001730248	0.0007743147
Intestinibacter	0.001078099	0.001419266
DTU089	0.001451087	0.001039179
Staphylococcus	0.0008375193	0.001633703
JAHZHG01	0.0007688873	0.001702051
Lancefieldella	0.0009616413	0.001501293
CALWRD01	0.0009461776	0.001514259
DATESN01	0.001629944	0.0008243092
